Q,CC,MaxCC
0.658,12828,629847
0.659,12673,631593
0.66,12483,633131
0.661,12286,634952
0.662,12271,636226
0.663,11874,638044
0.664,11843,639628
0.665,11662,640892
0.666,11559,641223
0.667,11501,643765
0.668,11534,643538
0.669,11346,645856
0.67,10995,647119
0.671,10697,650076
0.672,10747,649765
0.673,10489,653368
0.674,10651,653450
0.675,10424,655039
0.676,9925,657643
0.677,9886,658588
0.678,9851,659491
0.679,9625,660829
0.68,9640,661774
0.681,9510,664172
0.682,9372,664498
0.683,9515,664740
0.684,9098,667607
0.685,9047,666952
0.686,8918,670060
0.687,8774,671563
0.688,8814,673019
0.689,8639,672594
0.69,8559,674143
0.691,8251,677228
0.692,8194,676449
0.693,8229,679247
0.694,8022,680001
0.695,8111,680288
0.696,7818,683073
0.697,7745,683944
0.698,7593,685200
0.699,7563,685773
0.7,7235,688330
0.701,7191,688748
0.702,7374,688986
0.703,7270,690456
0.704,6942,693406
0.705,6942,693158
0.706,6780,694941
0.707,6800,695860
0.708,6749,697307
0.709,6464,699652
0.71,6544,699480
0.711,6403,701708
0.712,6420,701648
0.713,6254,702606
0.714,6040,704530
0.715,6095,705955
0.716,5787,706927
0.717,5923,707396
0.718,5559,710688
0.719,5589,710425
0.72,5630,711739
0.721,5455,713048
0.722,5407,714078
0.723,5351,714390
0.724,5136,716128
0.725,5182,717168
0.726,5084,717498
0.727,4978,720163
0.728,5075,719518
0.729,4686,722389
0.73,4878,723246
0.731,4764,724691
0.732,4695,725435
0.733,4632,726951
0.734,4269,728470
0.735,4407,728060
0.736,4286,730839
0.737,4253,730587
0.738,4228,732310
0.739,4297,732753
0.74,4044,734073
0.741,4050,735957
0.742,3978,736793
0.743,3917,737476
0.744,3684,739312
0.745,3871,738903
0.746,3819,740657
0.747,3726,741115
0.748,3567,742484
0.749,3545,744910
0.75,3454,745287
0.751,3518,745859
0.752,3464,747860
0.753,3469,747930
0.754,3238,749746
0.755,3230,750665
0.756,3102,751963
0.757,3109,752770
0.758,3043,754725
0.759,3081,755280
0.76,2916,756253
0.761,2918,757006
0.762,2744,758230
0.763,2811,759289
0.764,2745,761296
0.765,2705,762154
0.766,2648,762213
0.767,2681,763356
0.768,2598,764480
0.769,2605,766008
0.77,2582,766420
0.771,2471,768310
0.772,2490,768590
0.773,2449,769171
0.774,2323,770774
0.775,2316,771896
0.776,2174,773832
0.777,2198,774402
0.778,2125,775612
0.779,2112,776249
0.78,2108,777184
0.781,2040,778491
0.782,1989,779819
0.783,1993,780676
0.784,1978,781556
0.785,1894,783030
0.786,1861,784659
0.787,1854,785030
0.788,1816,785842
0.789,1735,786332
0.79,1673,788252
0.791,1704,788502
0.792,1642,790146
0.793,1714,790674
0.794,1661,792301
0.795,1614,793198
0.796,1544,794283
0.797,1528,795576
0.798,1570,795657
0.799,1505,797296
0.8,1407,799011
0.801,1396,799403
0.802,1331,800408
0.803,1409,801506
0.804,1335,803249
0.805,1307,803325
0.806,1333,804259
0.807,1283,804920
0.808,1242,806554
0.809,1173,807568
0.81,1106,808652
0.811,1162,809233
0.812,1110,810971
0.813,1104,811572
0.814,1096,812661
0.815,1073,814088
0.816,1000,814885
0.817,1035,815392
0.818,1009,816531
0.819,1003,817119
0.82,963,818499
0.821,866,820294
0.822,899,821643
0.823,902,822110
0.824,934,823203
0.825,864,823538
0.826,803,825635
0.827,833,825869
0.828,814,826538
0.829,768,828363
0.83,783,828569
0.831,722,830255
0.832,740,831359
0.833,721,831737
0.834,701,833756
0.835,678,834162
0.836,675,835344
0.837,626,836500
0.838,612,836934
0.839,624,838297
0.84,604,839334
0.841,589,840118
0.842,586,841333
0.843,578,842855
0.844,517,843767
0.845,544,843888
0.846,528,845240
0.847,450,846563
0.848,475,847862
0.849,477,848563
0.85,470,848847
0.851,408,850452
0.852,477,851144
0.853,407,852861
0.854,438,852890
0.855,400,854259
0.856,396,855383
0.857,397,856851
0.858,375,857044
0.859,339,858133
0.86,381,859830
0.861,331,861016
0.862,358,861288
0.863,301,862346
0.864,340,863214
0.865,321,865106
0.866,327,865699
0.867,306,866760
0.868,251,867320
0.869,276,868422
0.87,275,869657
0.871,254,871151
0.872,271,872149
0.873,230,872154
0.874,244,873821
0.875,245,875607
0.876,208,876067
0.877,223,877275
0.878,222,877628
0.879,206,878850
0.88,206,879341
0.881,202,880712
0.882,179,881648
0.883,182,882739
0.884,168,884214
0.885,155,884943
0.886,161,885904
0.887,157,886829
0.888,176,887411
0.889,141,889199
0.89,145,890140
0.891,126,890899
0.892,130,891969
0.893,123,893027
0.894,115,894128
0.895,115,895348
0.896,122,896095
0.897,93,896904
0.898,115,897355
0.899,101,898925
0.9,108,899735
0.901,98,901152
0.902,85,901772
0.903,78,902915
