Q,CC,MaxCC
0.956,4,999997
0.957,4,999997
0.958,3,999998
0.959,5,999996
0.96,3,999998
0.961,3,999998
0.962,5,999996
0.963,4,999997
0.964,2,999999
0.965,5,999996
0.966,3,999998
0.967,1,1000000
0.968,2,999999
0.969,3,999998
0.97,1,1000000
0.971,1,1000000
0.972,2,999999
0.973,1,1000000
0.974,1,1000000
0.975,1,1000000
0.976,1,1000000
0.977,1,1000000
0.978,1,1000000
0.979,2,999999
0.98,1,1000000
0.981,1,1000000
0.982,1,1000000
0.983,1,1000000
0.984,1,1000000
0.985,1,1000000
0.986,1,1000000
0.987,1,1000000
0.988,1,1000000
0.989,1,1000000
0.99,1,1000000
0.991,1,1000000
0.992,1,1000000
0.993,1,1000000
0.994,1,1000000
0.995,1,1000000
0.996,1,1000000
0.997,1,1000000
0.998,1,1000000
0.999,1,1000000
1,1,1000000
